|hotel_name|hotel_loc|hotel_desc|hotel_url
10|CasaNova Guest House|Carrer del Bruc 146 , primer piso primera puerta, Eixample, 08037 Barcelona, Spain|"This property is 6 minutes walk from the beach. Featuring free WiFi, CasaNova Guest House is located in Barcelona, 500 m from Casa Batllo.
You will find coffee and tea facilities at the property. Free toiletries and a hairdryer are provided-
Tivoli Theatre is 600 m from CasaNova Guest House, while La Pedrera is 300 m from the property. The nearest airport is Barcelona El Prat Airport, 13 km from CasaNova Guest House."|https://www.booking.com/hotel/es/casanova-guest-house.en-gb.html
11|Friendly Rentals Gran Via|Gran Via de les Corts Catalanes, 682, Eixample, 08010 Barcelona, Spain|"You're eligible for a Genius discount at Friendly Rentals Gran Via! To save at this property, all you have to do is sign in.
Located 2.1 km from Somorrostro Beach in Barcelona, Friendly Rentals Gran Via provides accommodation with air conditioning and free WiFi.
Each unit comes with a fully equipped kitchen with a microwave, a seating area, a flat-screen TV, a washing machine, and a private bathroom with shower and a hairdryer. A fridge, an oven and stovetop are also featured, as well as a kettle and a coffee machine.
Popular points of interest near the apartment include Passeig de Gracia, Casa Batllo and Tivoli Theatre. The nearest airport is Barcelona El Prat Airport, 16 km from Friendly Rentals Gran Via."|https://www.booking.com/hotel/es/gran-via-terrace.en-gb.html
12|Aspasios Urquinaona Design|Girona, 15, Eixample, 08010 Barcelona, Spain|"Aspasios Urquinaona Design is in a quiet area of Barcelona’s Eixample district, only 5 minutes' walk from Plaza Catalunya and Arc de Triomf. Each bright apartment has free Wi-Fi.
The Urquinaona Design Apartments have elegant, modern design. They are air-conditioned and bright, with an open-plan living area with flat-screen TV and kitchen.
The kitchen includes an oven, a Nespresso coffee maker and a juicer. There is also a dishwasher, a washing machine and a tumble dryer.
All apartments have access to the furnished roof terrace.
The apartments are just a short walk from the historic city centre. Ciutadella Park, the Cathedral and the Picasso Museum are all nearby. Urquinaona Metro Station is only 300 m away."|https://www.booking.com/hotel/es/aspasion-short-rentals-s-l.en-gb.html
13|Cosmo Apartments Rambla Catalunya|Rambla De Catalunya, 46, Eixample, 08007 Barcelona, Spain|"You're eligible for a Genius discount at Cosmo Apartments Rambla Catalunya! To save at this property, all you have to do is sign in.
Featuring soundproofed rooms and free WiFi, Cosmo Apartments Rambla Catalunya is located in central Barcelona, only 6 minutes on foot from Plaça Catalunya Square.
These modern and bright apartments come with 3 bedrooms and 2 bathrooms. The kitchenette includes oven, dishwasher, a microwave and a coffee machine and the living area has a sofa and a flat-screen TV.  Bed linen and towels are provided.
Guests can order gourmet food baskets upon arrival.
Guests will find many bars, restaurants and shops in the lively and central Rambla de Catalunya. The closest supermarket is just 500 m away.
Barcelona’s La Rambla Street is 600 m from the property and Gaudi’s Casa Batlló building is a 3-minute walk away. The apartment is just 200 m from Paseo de Gracia Boulevard and its metro and train station, with direct connection with El Prat Airport."|https://www.booking.com/hotel/es/just-style-rambla-catalunya.en-gb.html
14|Evenia Rocafort|Rocafort, 23 - 25, Eixample, 08015 Barcelona, Spain|"The stylish Evenia Rocafort is located in central Barcelona, 200 m from Poble Sec Metro Station. Air-conditioned, soundproofed rooms feature flat-screen TV and free internet access.
Rooms at the Evenia have a private bathroom, minibar and safe. There is also a work desk.
Evenia Rocafort serves a varied buffet breakfast.
There is a 24-hour front desk and an internet corner. The hotel can provide tourist information, and is within a short walk of the Fira Exhibition Centre, the Magic Fountain and Poble Espanyol.
Poble Sec Metro Station is just 2 stops away from the Ramblas. Sants Train and Bus Station is just 3 stops away."|https://www.booking.com/hotel/es/cotursarocafort.en-gb.html
15|Hotel Granados 83|Enrique Granados, 83, Eixample, 08008 Barcelona, Spain|"You're eligible for a Genius discount at Hotel Granados 83! To save at this property, all you have to do is sign in.
Located 250 m from Barcelona’s Diagonal Metro Station, Granados 83 offers a small gym and roof terrace with a small pool and cocktail bar. Rooms feature Zen-style design and LCD TV.
This design hotel has an impressive glass and stone façade and it combines neoclassical details with industrial and natural components which has become representative of the entire city and which gives it the Speciality Monument status. It also features beautiful Art Deco interiors.
Decorated with wood, leather and glass, the Granados 83’s stylish air-conditioned rooms include a minibar, bathrobe and slippers.
The elegant restaurant serves creative Mediterranean cuisine and room service is available. There are many popular tapas bars within a 5-minute walk, on Rambla de Catalunya.
Passeig de Gràcia is 400 m away, and is home to Gaudí’s famous La Pedrera and Casa Batlló.
There is a 24-hour reception and free Wi-Fi throughout the hotel. You can hire a car from the tour desk, and on-site parking is offered for an extra charge."|https://www.booking.com/hotel/es/granados-83.en-gb.html
16|Praktik Èssens|Passeig de Gràcia 24, Eixample, 08007 Barcelona, Spain|"Boasting a terrace, Praktik Èssens is located in Barcelona and is 300 m from Passeig de Gracia. The property is set 300 m from Casa Batllo and 350 m from Tivoli Theatre. The accommodation features free WiFi and an outdoor terrace.
The rooms in the hotel are equipped with a coffee machine. Rooms are complete with a private bathroom, while certain rooms at Praktik Èssens also feature a seating area. All rooms have a desk.
Speaking English and Spanish, staff will be happy to provide guests with practical information on the area at the reception.
Plaça Catalunya is 500 m from the accommodation. The nearest airport is Barcelona El Prat Airport, 16 km from Praktik Èssens."|https://www.booking.com/hotel/es/praktik-essens.en-gb.html
17|Almanac Barcelona|Gran Via de les Corts Catalanes 619-621, Eixample, 08007 Barcelona, Spain|"You're eligible for a Genius discount at Almanac Barcelona! To save at this property, all you have to do is sign in.
Almanac Barcelona has an exclusive location, a few steps from the fashionable Paseo de Gracia Boulevard and from central Plaza Catalunya. This luxurious hotel has a panoramic rooftop bar and terrace, and an exclusive pool and sun lounge.
Housed in a stylish, traditional building, all rooms have a minibar and a seating area with a flat-screen TV and high-speed internet connection. The bathroom has double marble sinks, a walk-in shower and includes a bathrobe and slippers.
Led by Michelin-starred chef Rodrigo de la Calle, the on-site plant-based restaurant Virens offers local food and rice dishes.
The hotel include areas for fitness and wellness, a treatment room, a steam sauna and a relaxation lounge.
You can walk to Gaudi’s Casa Batlló and La Pedrera within 10 minutes; while Picasso Museum is 1 km away."|https://www.booking.com/hotel/es/almanac-barcelona-barcelona.en-gb.html
18|Consell de Cent Apartment|Consell de cent 315, Eixample, 08007 Barcelona, Spain|"You're eligible for a Genius discount at Consell de Cent Apartment! To save at this property, all you have to do is sign in.
Consell de Cent Apartment is a self-catering accommodation located in the heart of Barcelona, only 150 m from Rambla de Catalunya. Free WiFi access is available.
The property is an 8-minute walk from Plaza Catalunya Square and 400 m from Passeig de Gràcia Avenue.
The air-conditioned apartment has city views, as well as a lift, 2 bedrooms and a bathroom with bath, shower and hairdryer. Bed linen and towels are included.
The living room has a sofa with a chaise longue and a flat.-screen TV, while the open-plan kitchen has modern appliances including a dishwasher and an oven.
Barcelona El Prat Airport is 15 minutes by car."|https://www.booking.com/hotel/es/consell-de-cent-apartment.en-gb.html
19||Carrer de Girona, 167, Eixample, 08037 Barcelona, Spain|"In the Eixample district of Barcelona, close to La Pedrera, Key BCN Apartment 3o2a 8p 4h features free WiFi and a washing machine. With city views, this accommodation provides a balcony.
The apartment includes 4 bedrooms, a kitchen with a microwave and a fridge, as well as a kettle.
Popular points of interest near the apartment include Casa Batllo, Sagrada Familia and Passeig de Gracia. The nearest airport is Barcelona El Prat Airport, 13 km from Key BCN Apartment 3o2a 8p 4h."|https://www.booking.com/hotel/es/key-bcn-apartment-3o2a-8p-4h.en-gb.html
